Date,Time,BMS- Power,MPSA- Ouput P,Load MFM- Active Power,BMS- State of Charge,DG MFM- Active Power,Irradiation,Solar MFM- Active Power
10-11-2024,08:07:01,-54,-58.1,0,26,11.4,149.2,58.6
10-11-2024,08:07:31,-54,-58.1,0,26,11.4,149.1,58.6
10-11-2024,08:08:01,-54,-58.2,0,26,11.9,149.3,58.6
10-11-2024,08:08:31,-54,-58.2,0,26,11.9,149.3,58.6
10-11-2024,08:09:01,-55,-60.3,0,26,11.7,152.2,58.9
10-11-2024,08:09:31,-55,-60.3,0,26,11.7,152.2,58.9
10-11-2024,08:10:01,-68,-73.2,0,27,11.7,180,69.6
10-11-2024,08:10:31,-68,-73.2,0,27,11.7,180,69.6
10-11-2024,08:11:01,-86,-91.3,0,27,11.5,217.4,82.8
10-11-2024,08:11:31,-86,-91.3,0,27,11.5,217.4,82.8
10-11-2024,08:12:01,-99,-104.6,0,28,11.4,242.7,105.1
10-11-2024,08:12:31,-99,-104.6,0,28,11.4,242.7,105.1
10-11-2024,08:13:01,-103,-109.2,0,29,11,253.2,109
10-11-2024,08:13:31,-103,-109.2,0,29,11,253.2,109
10-11-2024,08:14:01,-106,-111.4,0,30,11,258.6,111
10-11-2024,08:14:31,-106,-111.4,0,30,11,258.6,111
10-11-2024,08:15:01,-109,-115.7,0,31,11,268.2,115.6
10-11-2024,08:15:31,-109,-115.7,0,31,11,268.2,115.6
10-11-2024,08:16:01,-112,-118.9,0,31,11,278.8,118.7
10-11-2024,08:16:31,-114,-120,0,31,11,278.8,120.4
10-11-2024,08:17:01,-111,-116.6,0,32,11.4,283.4,118
10-11-2024,08:17:31,-111,-116.6,0,32,11.4,283.4,118
10-11-2024,08:18:01,-112,-118.4,0,33,11.5,287.5,118.9
10-11-2024,08:18:31,-112,-118.3,0,33,11.5,287.5,118.9
10-11-2024,08:19:01,-112,-118.7,0,34,11.2,292.5,119
10-11-2024,08:19:31,-112,-118.7,0,34,11.3,292.5,117.5
10-11-2024,08:20:01,-113,-120.1,0,35,11.1,300.3,120.9
10-11-2024,08:20:31,-113,-120.9,0,35,11.1,300.3,120.9
10-11-2024,08:21:01,-114,-119,0,36,12.9,307.1,121.4
10-11-2024,08:21:31,-113,-117.6,0,36,13,307.1,121.4
10-11-2024,08:22:01,-111,-119.1,0,37,12.9,314.9,119.2
10-11-2024,08:22:31,-112,-119.1,0,37,12.9,314.9,120.1
10-11-2024,08:23:01,-113,-118.7,0,37,12.9,320.3,118.8
10-11-2024,08:23:31,-113,-118.8,0,37,12.9,320.3,118.8
10-11-2024,08:24:01,-112,-118.5,0,38,12.8,323.9,118.7
10-11-2024,08:24:31,-112,-118.5,0,38,12.8,323.9,118.7
10-11-2024,08:25:01,-112,-118,0,39,12.9,323,119.7
10-11-2024,08:25:31,-112,-118.1,0,39,12.9,323,119.7
10-11-2024,08:26:01,-103,-107.9,10.7,40,0,326.5,118.6
10-11-2024,08:26:31,-103,-107.9,10.7,40,0,326.5,118.6
10-11-2024,08:27:01,-112,-117.3,9.4,41,0,333.4,127.2
10-11-2024,08:27:31,-111,-117.1,9.6,41,0,333.4,127.2
10-11-2024,08:28:01,-113,-118.7,7.6,42,0,335.7,128.7
10-11-2024,08:28:31,-113,-118.7,7.6,42,0,335.7,128.7
10-11-2024,08:29:01,-109,-116.1,7.6,42,0,339,125.5
10-11-2024,08:29:31,-113,-116.5,7.6,42,0,339,126.2
10-11-2024,08:30:01,-110,-117.4,7.4,43,0,347.4,125.3
10-11-2024,08:30:31,-110,-115.9,7.4,43,0,347.4,125.3
10-11-2024,08:31:01,-110,-116.8,7.2,44,0,351.5,124.4
10-11-2024,08:31:31,-112,-116.8,7.2,44,0,351.5,124.4
10-11-2024,08:32:01,-108,-116.7,7.2,45,0,351.6,125.3
10-11-2024,08:32:31,-108,-116.7,7.2,45,0,351.5,125.3
10-11-2024,08:33:01,-114,-117.8,7.1,46,0,352.5,126.2
10-11-2024,08:33:31,-112,-117.5,7.1,46,0,351.9,126.2
10-11-2024,08:34:01,-108,-116.4,7.1,47,0,347.9,125.7
10-11-2024,08:34:31,-108,-116.4,7.1,47,0,347.9,126
10-11-2024,08:35:01,-111,-115.7,7.1,47,0,341.1,125.7
10-11-2024,08:35:31,-109,-115.7,7.1,47,0,341.7,125.7
10-11-2024,08:36:01,-111,-116.5,7.6,48,0,339.2,124.9
10-11-2024,08:36:31,-110,-116.5,7.6,48,0,339.2,124.9
10-11-2024,08:37:01,-114,-117.3,7.5,49,0,337.1,124.6
10-11-2024,08:37:31,-113,-117.3,7.5,49,0,338.8,124.6
10-11-2024,08:38:01,-109,-117.4,7.6,50,0,340,124.9
10-11-2024,08:38:31,-112,-117.3,7.5,50,0,340,125.7
10-11-2024,08:39:01,-108,-114.7,7.6,51,0,350.3,124.8
10-11-2024,08:39:31,-108,-114.7,7.6,51,0,350.3,124.8
10-11-2024,08:40:01,-112,-118.2,10,51,0,359.8,128.7
10-11-2024,08:40:31,-112,-118.2,10,51,0,359.8,128.4
